# wl (nm), spectrum (a.u.), gdd (fs^2),phase
9.871818943947648048e-07, 6.164682440777102639e-03, -2.975774029669662048e-26, -3.257171849291905801e+02
9.862083422306675680e-07, 6.381914487529090699e-03, -1.359122448019129077e-26, -3.270332650221542963e+02
9.852367083959574852e-07, 6.523909044382177232e-03, 2.299232327360196034e-26, -3.242474540913822239e+02
9.842669872262764221e-07, 6.262046567206699423e-03, -1.500492623528649237e-26, -3.245325666055260854e+02
9.832991730795446935e-07, 6.276284441838945669e-03, -5.129316420707821138e-27, -3.271242295105917037e+02
9.823332603358515837e-07, 6.464256392181594313e-03, 1.885007549849854994e-26, -3.264332603780592308e+02
9.813692433973473503e-07, 6.361669879556697792e-03, -2.169997334602257285e-26, -3.234565862541853676e+02
9.804071166881341683e-07, 6.324958633458640025e-03, 9.490877522489729706e-27, -3.230046499851832209e+02
9.794468746541596162e-07, 6.544210536743637341e-03, 3.299337375000942569e-28, -3.229440544779785114e+02
9.784885117631084671e-07, 6.244064254984227867e-03, 4.692659344235482366e-27, -3.215760620015207678e+02
9.775320225042980803e-07, 6.304647550713908533e-03, 3.983374920095196591e-28, -3.204913188598243323e+02
9.765774013885712517e-07, 6.380226134666764845e-03, -4.598304750633719818e-26, -3.185642180067209210e+02
9.756246429481920287e-07, 6.556105548935877228e-03, 7.156304798032960291e-26, -3.161961017202178255e+02
9.746737417367415250e-07, 6.335753787055287654e-03, -1.220474162003712436e-26, -3.178861544092628719e+02
9.737246923290135240e-07, 6.337770931189967531e-03, -1.710202418781449109e-26, -3.192829278093945504e+02
9.727774893209113524e-07, 6.262864946323143042e-03, 4.147539010804568533e-27, -3.219601385201758035e+02
9.718321273293458129e-07, 6.364232866168114712e-03, -1.661617431778357461e-26, -3.242830287889285614e+02
9.708886009921329048e-07, 6.387701152906706363e-03, 1.120368975853150066e-26, -3.243057347835791688e+02
9.699469049678921799e-07, 6.236462625028604302e-03, -3.027625468706800112e-27, -3.245857790131242382e+02
9.690070339359467931e-07, 6.259281876119840958e-03, 3.877261132420926175e-27, -3.247380909564944318e+02
9.680689825962216464e-07, 6.367979097251168230e-03, -2.013520114723392645e-26, -3.234640179964348476e+02
9.671327456691459798e-07, 6.212113358631653030e-03, 3.196089465708283753e-26, -3.207130576617998372e+02
9.661983178955525751e-07, 6.265953704728082635e-03, -7.349839521902276347e-27, -3.228650079785498974e+02
9.652656940365801345e-07, 6.462647839345470047e-03, -3.841059374112363373e-27, -3.239005536246926908e+02
9.643348688735746022e-07, 6.291812247446185863e-03, 3.078655827525237750e-27, -3.228997869653981070e+02
9.634058372079932370e-07, 6.233785395327920073e-03, 2.714192922835625613e-27, -3.201196065276228637e+02
9.624785938613059336e-07, 6.382007923723864197e-03, -1.101801149797447070e-26, -3.201111797235810172e+02
9.615531336749007782e-07, 6.242214144783877865e-03, 1.435532309305987226e-26, -3.181325077801295720e+02
9.606294515099874867e-07, 6.249360320734039832e-03, 1.487928647269453575e-26, -3.194965948452124280e+02
9.597075422475016901e-07, 6.351485956464540845e-03, -9.133868859345550100e-27, -3.183612671650379298e+02
9.587874007880123959e-07, 6.486755191546378883e-03, -2.092455571009918188e-26, -3.162937146120327725e+02
9.578690220516252151e-07, 6.366428190093884575e-03, 1.901718355172236744e-26, -3.174098319687470280e+02
9.569524009778917291e-07, 6.218569519884619042e-03, -2.315439393666484233e-26, -3.153057770214403490e+02
9.560375325257139871e-07, 6.362606124668098578e-03, 1.213845423668941914e-26, -3.129745686051844018e+02
9.551244116732540850e-07, 6.422869172117950422e-03, 7.079954702492402882e-27, -3.136420979069379200e+02
9.542130334178405687e-07, 6.419223556602543512e-03, -2.817730771762753668e-27, -3.116957319090914211e+02
9.533033927758788602e-07, 6.352532831623973822e-03, -2.937478084746431806e-27, -3.127606301663421391e+02
9.523954847827590364e-07, 6.418921765184603355e-03, -4.763025222153246746e-27, -3.144524568890390128e+02
9.514893044927658328e-07, 6.334200680156436281e-03, -8.550991642465681426e-27, -3.148154313706899075e+02
9.505848469789894925e-07, 6.355361482256871065e-03, -9.648872062212530787e-27, -3.171410570203798898e+02
